smiles,c_index,x_index
Cl[C:21]1=[CH:23][CH:25]=[CH:27][C:24]([C:26]2=[N:29][C:31]([C:34]3=[CH:37][CH:41]=[CH:44][CH:42]=[CH:38]3)=[N:32][C:30]([C:33]3=[CH:35][CH:39]=[CH:43][CH:40]=[CH:36]3)=[CH:28]2)=[CH:22]1,1,0
Cl[C:18]1=[CH:19][CH:21]=[C:23]([F:24])[CH:22]=[CH:20]1,1,0
Br[C:17]1=[CH:11][CH:5]=[C:2]([N:1]([C:3]2=[CH:7][CH:13]=[CH:18][CH:14]=[CH:8]2)[C:4]2=[CH:9][CH:15]=[CH:19][CH:16]=[CH:10]2)[CH:6]=[CH:12]1,1,0
Cl[C:11]1=[CH:13][N:15]=[CH:16][CH:14]=[CH:12]1,1,0
Br[C:1]1=[C:2]([CH3:4])[CH:5]=[C:8]([CH3:9])[CH:7]=[C:3]1[CH3:6],1,0
I[C:1]1=[CH:2][C:4]2=[C:6]([CH:5]=[CH:3]1)[CH:8]=[CH:10][CH:9]=[CH:7]2,1,0
I[C:1]1=[C:2]([OH:4])[CH:5]=[CH:7][CH:6]=[CH:3]1,1,0
Br[C:1]1=[CH:3][CH:5]=[N:6][CH:4]=[CH:2]1,1,0
Br[C:17]1=[CH:15][C:13]([C:9]([F:10])([F:11])[F:12])=[CH:14][C:16]([C:18]([F:20])([F:21])[F:22])=[CH:19]1,1,0
Br[C:1]1=[CH:2][C:4]([F:6])=[CH:7][CH:5]=[CH:3]1,1,0
I[C:14]1=[C:12]([C:9]([O:10][CH3:13])=[O:11])[CH:15]=[CH:17][CH:18]=[CH:16]1,1,0
Br[C:14]1=[CH:12][CH:10]=[C:9]([Br:8])[CH:11]=[CH:13]1,1,0
Br[C:9]1=[CH:11]\[CH:13]=[C:14]2[C:12](=[CH:10]/1)/[O:15][CH2:17][O:16]/2,1,0
Br[C:61]1=[C:62]2[C:64]3=[C:67]4[C:70](=[CH:73][CH:76]=[CH:75]/[C:71]4=[CH:74]/[CH:72]=[C:68]\3[CH:66]=[CH:63]1)[CH:69]=[CH:65]2,1,0
Br[C:51]1=[CH:53][N:56]=[CH:57][C:54]2=[C:52]1[CH:55]=[CH:59][CH:60]=[CH:58]2,1,0
I[C:8]1=[CH:6][CH:4]=[C:3]([CH2:1][CH3:2])[CH:5]=[CH:7]1,1,0
I[C:20]1=[CH:22][S:24][CH:23]=[CH:21]1,1,0
I[C:23]1=[CH:25][CH:24]=[CH:22][C:19]([C:16]([O:17][CH3:20])=[O:18])=[CH:21]1,1,0
Cl[C:1]1=[N:3][CH:5]=[CH:6][CH:4]=[N:2]1,1,0
Cl[C:1]1=[C:2]([CH3:4])[CH:5]=[CH:8][CH:7]=[C:3]1[CH3:6],1,0
Br[C:12]1=[CH:9][C:6]([O:8][CH3:11])=[C:5]([O:3][CH3:4])[CH:7]=[CH:10]1,1,0
Br[C:17]1=[CH:15][CH:13]=[C:12]([C:9]([OH:10])=[O:11])[CH:14]=[CH:16]1,1,0
Cl[C:12]1=[C:11]([O:9][CH3:10])[CH:13]=[CH:15][CH:16]=[CH:14]1,1,0
Br[C:16]1=[CH:14][CH:12]=[C:11]([S:9][CH3:10])[CH:13]=[CH:15]1,1,0
I[C:1]1=[CH:3][CH:5]=[N:6][CH:4]=[CH:2]1,1,0
I[C:5]1=[CH:7][CH:6]=[CH:4][C:2]([Br:1])=[CH:3]1,1,0
Cl[C:8]1=[N:10][C:13]([Cl:17])=[N:14][C:11]2=[C:9]1[CH:12]=[CH:16][CH:18]=[CH:15]2,1,0
Br[C:42]1=[CH:44][CH:46]=[C:48]2[C:45](=[CH:43]1)[C:47]1=[CH:50][CH:53]=[CH:54][CH:52]=[C:49]1[S:51]2,1,0
I[C:22]1=[CH:20][CH:18]=[C:17]([I:16])[CH:19]=[CH:21]1,1,0
Br[C:23]1=[CH:19][CH:15]=[C:13]([C:11](=[O:12])[C:14]2=[CH:17][CH:21]=[CH:24][CH:22]=[CH:18]2)[CH:16]=[CH:20]1,1,0
Cl[C:1]1=[CH:3][CH:5]=[CH:7][C:4]([C:6]2=[CH:9][CH:11]=[CH:13][C:10]([C:12]3=[N:15][C:17]([C:20]4=[CH:23][CH:27]=[CH:30][CH:28]=[CH:24]4)=[N:18][C:16]([C:19]4=[CH:21][CH:25]=[CH:29][CH:26]=[CH:22]4)=[N:14]3)=[CH:8]2)=[CH:2]1,1,0
Br[C:8]1=[CH:6][CH:4]=[C:3]([O:1][CH3:2])[N:5]=[CH:7]1,1,0
Br[C:9]1=[C:10]([CH3:12])[CH:13]=[CH:16][CH:15]=[C:11]1[CH3:14],1,0
I[C:12]1=[CH:14][CH:13]=[CH:11][C:9]([C:7]#[N:8])=[CH:10]1,1,0
